market,contact_name,channel_name,role,platform,language,region_city,audience_estimate,fit_score,fit_notes,contact_route,contact_url,first_touch_date,first_touch_status,followup_1_date,followup_1_status,followup_2_date,followup_2_status,cta_requested,asset_pack_sent,track_link_sent,preview_link_sent,premiere_link_sent,result_status,result_link,notes
Japan,Creator Team,Japan Electronic Creator 02,Creator,Instagram/YouTube Shorts,Japanese,Osaka,to-verify,3,Performance and visual clip compatibility,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Shorts mention with link,no,no,no,no,pending, ,Replace with named creator after research
Japan,DJ Team,Japan DJ 01,DJ,Instagram/SoundCloud,Japanese,Tokyo,to-verify,4,Set support and track placement potential,instagram_dm,https://soundcloud.com/, ,not_started, ,not_started, ,not_started,Set mention or story tag,no,no,no,no,pending, ,Replace with named DJ after research
Japan,DJ Team,Japan DJ 02,DJ,Instagram/Mixcloud,Japanese,Kyoto,to-verify,4,Experimental selector alignment,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Replay mention post,no,no,no,no,pending, ,Replace with named DJ after research
Japan,Visual Team,Japan Motion Creator 01,Visual creator,Instagram,Japanese,Tokyo,to-verify,3,Visual-first collab potential,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Story repost with preview,no,no,no,no,pending, ,Replace with named creator after research
Japan,Community Team,Japan Community Page 01,Scene page,Instagram/X,Japanese,Tokyo,to-verify,3,Scene distribution and repost potential,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Community repost,no,no,no,no,pending, ,Replace with named page after research
South Korea,Editorial Team,VISLA Magazine,Media/Curator,Web/Instagram,Korean,Seoul,to-verify,5,Strong local culture and electronic crossover fit,email_or_dm,https://visla.kr/, ,not_started, ,not_started, ,not_started,Editorial mention with replay link,no,no,no,no,pending, ,Verify editor contact and submission format
South Korea,Programming Team,Cakeshop Seoul,Venue/Curator,Instagram/Web,Korean,Seoul,to-verify,5,Core electronic scene relevance,instagram_dm,https://www.instagram.com/cakeshopseoul/, ,not_started, ,not_started, ,not_started,Story repost with local-time CTA,no,no,no,no,pending, ,Confirm best outreach handle
South Korea,Programming Team,Faust Seoul,Venue/Curator,Instagram/Web,Korean,Seoul,to-verify,4,Underground electronic audience fit,instagram_dm,https://www.instagram.com/faustseoul/, ,not_started, ,not_started, ,not_started,Event mention or repost,no,no,no,no,pending, ,Verify active contact inbox
South Korea,Editorial Team,NAVER Culture Blog 01,Media/Curator,NAVER Blog/Korean web,Korean,Seoul,to-verify,3,Local discoverability via Naver ecosystem,email_or_dm,web_to_verify, ,not_started, ,not_started, ,not_started,Blog mention with replay link,no,no,no,no,pending, ,Replace with named blog after research
South Korea,Editorial Team,NAVER Culture Blog 02,Media/Curator,NAVER Blog/Korean web,Korean,Busan,to-verify,3,Local discoverability and social proof,email_or_dm,web_to_verify, ,not_started, ,not_started, ,not_started,Blog mention or recap link,no,no,no,no,pending, ,Replace with named blog after research
South Korea,Creator Team,Korea Electronic Creator 01,Creator,Instagram/TikTok,Korean,Seoul,to-verify,4,High-tempo short-form clip compatibility,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,15s reel repost,no,no,no,no,pending, ,Replace with named creator after research
South Korea,Creator Team,Korea Electronic Creator 02,Creator,TikTok/YouTube Shorts,Korean,Seoul,to-verify,4,Short-form momentum and hook potential,tiktok_dm,https://www.tiktok.com/, ,not_started, ,not_started, ,not_started,Short clip repost with CTA,no,no,no,no,pending, ,Replace with named creator after research
South Korea,Creator Team,Korea Visual Creator 01,Visual creator,Instagram,Korean,Seoul,to-verify,3,Visual-performance crossover fit,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Preview clip repost,no,no,no,no,pending, ,Replace with named creator after research
South Korea,Creator Team,Korea Visual Creator 02,Visual creator,Instagram/YouTube,Korean,Incheon,to-verify,3,Visual identity alignment for clips,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Story mention and replay link,no,no,no,no,pending, ,Replace with named creator after research
South Korea,DJ Team,Korea DJ 01,DJ,Instagram/SoundCloud,Korean,Seoul,to-verify,4,Electronic set support potential,instagram_dm,https://soundcloud.com/, ,not_started, ,not_started, ,not_started,Set mention and tag,no,no,no,no,pending, ,Replace with named DJ after research
South Korea,DJ Team,Korea DJ 02,DJ,Instagram/Mixcloud,Korean,Busan,to-verify,4,Club and replay crossover potential,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Story repost and schedule mention,no,no,no,no,pending, ,Replace with named DJ after research
South Korea,DJ Team,Korea DJ 03,DJ,Instagram/YouTube,Korean,Daegu,to-verify,3,Regional scene distribution potential,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Repost with local-time reminder,no,no,no,no,pending, ,Replace with named DJ after research
South Korea,Community Team,Korea Scene Page 01,Scene page,Instagram/Kakao community,Korean,Seoul,to-verify,3,Community-forward distribution path,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Community repost,no,no,no,no,pending, ,Replace with named page after research
South Korea,Community Team,Korea Scene Page 02,Scene page,Instagram/NAVER,Korean,Seoul,to-verify,3,Event and replay amplification potential,instagram_dm,https://www.instagram.com/, ,not_started, ,not_started, ,not_started,Event reminder repost,no,no,no,no,pending, ,Replace with named page after research
South Korea,Media Team,Korea Electronic Media 01,Media/Curator,Web/Instagram,Korean,Seoul,to-verify,4,Electronic culture coverage fit,email_or_dm,web_to_verify, ,not_started, ,not_started, ,not_started,Editorial or social mention,no,no,no,no,pending, ,Replace with named outlet after research
South Korea,Media Team,Korea Electronic Media 02,Media/Curator,Web/Instagram,Korean,Seoul,to-verify,4,Local music and visual culture fit,email_or_dm,web_to_verify, ,not_started, ,not_started, ,not_started,Editorial mention with replay link,no,no,no,no,pending, ,Replace with named outlet after research
